Date,TimeOfCall,Age,Gender,Race,Language,City,Reason for Dispatch
1/6/2023,20:32:31,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/6/2023,20:32:40,30,Female,White,English,Eugene,Check Welfare
1/6/2023,8:25:31,Not Given,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/6/2023,10:34:22,Not Given,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/6/2023,11:18:41,33,Male,White,English,Springfield,Check Welfare
1/6/2023,16:15:15,58,Female,White,English,Springfield,Check Welfare
1/6/2023,11:15:00,Not Given,Chose not to disclose,White,English,Eugene,Public Assist
1/6/2023,12:00:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/6/2023,12:35:00,Not Given,Female,Black or African American,English,Eugene,Public Assist
1/6/2023,12:47:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/6/2023,13:35:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/6/2023,21:41:16,Not Given,Male,White,English,Eugene,Check Welfare
1/6/2023,22:22:16,57,Male,White,English,Eugene,Public Assist
1/6/2023,17:23:23,Not Given,Female,White,English,Eugene,Public Assist
1/6/2023,17:34:11,34,Female,White,English,Eugene,Police Assist
1/6/2023,19:36:06,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/6/2023,19:50:51,Not Given,Female,N/A,English,Eugene,Public Assist
1/6/2023,19:55:24,72,Female,White,English,Eugene,Check Welfare
1/6/2023,20:52:41,59,Male,Black or African American,English,Eugene,Public Assist
1/6/2023,21:57:45,74,Female,White,English,Eugene,Public Assist
1/6/2023,23:33:39,Not Given,Female,N/A,English,Eugene,Check Welfare
1/7/2023,0:34:59,21,Female,White,English,Eugene,Public Assist
1/7/2023,0:46:12,Not Given,Female,N/A,English,Eugene,Public Assist
1/7/2023,0:49:16,Not Given,Female,N/A,English,Eugene,Check Welfare
1/7/2023,1:49:12,40,Male,White,English,Eugene,Public Assist
1/7/2023,2:31:42,Not Given,Female,N/A,English,Eugene,Check Welfare
1/7/2023,2:42:41,20,Female,Two or More Unspecified Race,English,Eugene,Check Welfare
1/6/2023,17:44:03,Not Given,Male,N/A,English,Springfield,Check Welfare
1/6/2023,17:46:22,Not Given,Female,N/A,English,Springfield,Check Welfare
1/6/2023,20:07:48,68,Male,White,English,Springfield,Check Welfare
1/6/2023,21:23:47,81,Female,White,English,Springfield,Check Welfare
1/6/2023,22:18:02,13,Female,White,English,Springfield,Check Welfare
1/7/2023,2:23:50,70,Male,White,English,Springfield,Check Welfare
1/7/2023,2:56:48,18,Female,N/A,English,Springfield,Suicidal Subject
1/7/2023,7:30:00,Not Given,Male,N/A,English,Springfield,Public Assist
1/7/2023,9:06:00,68,MALE,WHITE,English,Springfield,Check Welfare
1/7/2023,10:00:00,87,FEMALE,White,English,Springfield,Check Welfare
1/7/2023,11:23:00,58,Chose not to disclose,WHITE,English,Springfield,Public Assist
1/7/2023,11:55:00,Not Given,MALE,White,English,Springfield,Public Assist
1/7/2023,12:41:00,Not Given,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/7/2023,5:22:54,24,Female,White,English,Eugene,Check Welfare
1/7/2023,6:27:00,31,Female,White,English,Eugene,Police Assist
1/7/2023,8:34:00,65,Male,White,English,Eugene,Check Welfare
1/7/2023,10:14:00,74,Female,White,English,Eugene,Check Welfare
1/7/2023,13:21:33,33,Female,N/A,English,Eugene,Check Welfare
1/7/2023,13:58:00,12,Female,White,English,Eugene,Check Welfare
1/7/2023,16:09:34,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/7/2023,17:36:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/7/2023,17:45:00,48,Male,White,English,Eugene,Public Assist
